numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;3;0.93%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;12;3.73%
3;RAJOELINA Andry Nirina;TGV;279;86.65%
4;RATSIRAKA Iarovana Roland;MTS;6;1.86%
5;RAVALOMANANA Marc;TIM;13;4.04%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;4;1.24%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.31%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.62%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;0.31%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;1;0.31%
