numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;5;2.34%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.93%
3;RAJOELINA Andry Nirina;TGV;144;67.29%
4;RATSIRAKA Iarovana Roland;MTS;1;0.47%
5;RAVALOMANANA Marc;TIM;32;14.95%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.93%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;5;2.34%
11;RADERANIRINA Sendrison Daniela;Fy-M;3;1.40%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;3;1.40%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;7.94%
