numero;nom;partie;nombre;pourcentage
Blancs: 7 soit: 2.47% Nuls:8 soit: 2.83%;1; RAZAFINJOELINA Tahina;FTT
2 0.75%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
2 0.75%;3; RAJOELINA Andry Nirina;TGV
202 75.37%;4; RATSIRAKA Iarovana Roland;MTS
1 0.37%;5; RAVALOMANANA Marc;TIM
30 11.19%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
4 1.49%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.37%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
1 0.37%;11; RADERANIRINA Sendrison Daniela;Fy-M
1 0.37%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
24 8.96%;
