numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;6;4.38%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.73%
3;RAJOELINA Andry Nirina;TGV;99;72.26%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;7;5.11%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;2.19%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.73%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;1.46%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;1.46%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;16;11.68%
