numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;2;2.99%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;3;4.48%
3;RAJOELINA Andry Nirina;TGV;50;74.63%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;1;1.49%
6;PARAINA Auguste Richard;TT;1;1.49%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;6;8.96%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;1.49%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;3;4.48%
