numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;0.84%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.84%
3; RAJOELINA Andry Nirina;TGV;82;68.91%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;18;15.13%
6; PARAINA Auguste Richard;TT;2;1.68%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;3;2.52%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;1.68%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;1.68%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;8;6.72%
