numero;nom;partie;nombre;pourcentage
Bureau de Vote :110520060101-BUREAU FOKONTANY ANDREFAKADY AMBONISAHA ;Blancs: 1 soit: 0.88% Nuls:4 soit: 3.54%;1;RAZAFINJOELINA;Tahina
FTT;2 1.85%;2;ANDRIANAINARIVELO;Hajo;Herivelona
MMM;0 0%;3;RAJOELINA;Andry;Nirina
TGV;78 72.22%;4;RATSIRAKA;Iarovana;Roland
MTS;0 0%;5;RAVALOMANANA;Marc
TIM;10 9.26%;6;PARAINA;Auguste;Richard
TT;0 0%;7;RAOBELINA;ANDRIAMALALA;Andry;Tsiverizo
ARB;3 2.78%;8;RAZAFINTSIANDRAOFA;Jean;Brunelle
APM;0 0%;9;RATSIRAHONANA;Lalaina;Harilanto
Antoko Fihavanantsika An'i Kristy;1 0.93%;10;RAJAONARIMAMPIANINA;RAKOTOARIMANANA;Hery;
HVM;1 0.93%;11;RADERANIRINA;Sendrison;Daniela
Fy-M;3 2.78%;12;RATSIETISON;Jean-Jacques;Jedidia
FMI-Ma;0 0%;13;RANDRIANASOLONIAIKO;Siteny;Thierry
Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;10 9.26%;
