numero;nom;partie;nombre;pourcentage
Suffrages ;1; RAZAFINJOELINA Tahina;FTT
4 1.52%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
0 0%;3; RAJOELINA Andry Nirina;TGV
227 86.31%;4; RATSIRAKA Iarovana Roland;MTS
1 0.38%;5; RAVALOMANANA Marc;TIM
12 4.56%;6; PARAINA Auguste Richard;TT
1 0.38%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
2 0.76%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
0 0%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
0 0%;11; RADERANIRINA Sendrison Daniela;Fy-M
2 0.76%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
14 5.32%;
