numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;1.72%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;1.72%
3; RAJOELINA Andry Nirina;TGV;14;24.14%
4; RATSIRAKA Iarovana Roland;MTS;1;1.72%
5; RAVALOMANANA Marc;TIM;29;50%
6; PARAINA Auguste Richard;TT;1;1.72%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;3.45%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;1.72%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;0;0%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;8;13.79%
