numero;nom;partie;nombre;pourcentage
Blancs: 9 soit: 5.49% Nuls:6 soit: 3.66%;1;RAZAFINJOELINA Tahina;FTT
0 0%;2;ANDRIANAINARIVELO Hajo Herivelona;MMM
5 3.36%;3;RAJOELINA Andry Nirina;TGV
67 44.97%;4;RATSIRAKA Iarovana Roland;MTS
1 0.67%;5;RAVALOMANANA Marc;TIM
41 27.52%;6;PARAINA Auguste Richard;TT
2 1.34%;7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
1 0.67%;8;RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9;RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.67%;10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
4 2.68%;11;RADERANIRINA Sendrison Daniela;Fy-M
0 0%;12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
27 18.12%;
