numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;5;1.61%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;10;3.22%
3; RAJOELINA Andry Nirina;TGV;118;37.94%
4; RATSIRAKA Iarovana Roland;MTS;10;3.22%
5; RAVALOMANANA Marc;TIM;150;48.23%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;0.64%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;5;1.61%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;8;2.57%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;3;0.96%
