numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;2;0.71%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.07%
3; RAJOELINA Andry Nirina;TGV;221;78.65%
4; RATSIRAKA Iarovana Roland;MTS;1;0.36%
5; RAVALOMANANA Marc;TIM;28;9.96%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;4;1.42%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;0;0%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;0.71%
11; RADERANIRINA Sendrison Daniela;Fy-M;5;1.78%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;15;5.34%
