numero;nom;partie;nombre;pourcentage
Blancs: 5 soit: 1.81% Nuls:6 soit: 2.17%;1; RAZAFINJOELINA Tahina;FTT
5 1.88%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
1 0.38%;3; RAJOELINA Andry Nirina;TGV
206 77.44%;4; RATSIRAKA Iarovana Roland;MTS
0 0%;5; RAVALOMANANA Marc;TIM
21 7.89%;6; PARAINA Auguste Richard;TT
1 0.38%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
2 0.75%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
1 0.38%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.38%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
2 0.75%;11; RADERANIRINA Sendrison Daniela;Fy-M
0 0%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
26 9.77%;
