numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;10;5.03%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;11;5.53%
3; RAJOELINA Andry Nirina;TGV;88;44.22%
4; RATSIRAKA Iarovana Roland;MTS;2;1.01%
5; RAVALOMANANA Marc;TIM;53;26.63%
6; PARAINA Auguste Richard;TT;1;0.50%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;1.01%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;9;4.52%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.50%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;13;6.53%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;1.01%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;7;3.52%
