numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;11;6.83%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;17;10.56%
3; RAJOELINA Andry Nirina;TGV;46;28.57%
4; RATSIRAKA Iarovana Roland;MTS;9;5.59%
5; RAVALOMANANA Marc;TIM;20;12.42%
6; PARAINA Auguste Richard;TT;6;3.73%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;6;3.73%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;9;5.59%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;5;3.11%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;10;6.21%
11; RADERANIRINA Sendrison Daniela;Fy-M;5;3.11%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;5;3.11%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;12;7.45%
