numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;1;0.56%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;4;2.22%
3; RAJOELINA Andry Nirina;TGV;148;82.22%
4; RATSIRAKA Iarovana Roland;MTS;1;0.56%
5; RAVALOMANANA Marc;TIM;18;10%
6; PARAINA Auguste Richard;TT;1;0.56%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.56%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.56%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;1.67%
11; RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;2;1.11%
