numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;3;2%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;2;1.33%
3;RAJOELINA Andry Nirina;TGV;97;64.67%
4;RATSIRAKA Iarovana Roland;MTS;1;0.67%
5;RAVALOMANANA Marc;TIM;22;14.67%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.67%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.67%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;7;4.67%
11;RADERANIRINA Sendrison Daniela;Fy-M;1;0.67%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;15;10%
