numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;1;0.26%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;0;0%
3;RAJOELINA Andry Nirina;TGV;333;87.86%
4;RATSIRAKA Iarovana Roland;MTS;0;0%
5;RAVALOMANANA Marc;TIM;16;4.22%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;4;1.06%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.26%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.26%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;0.79%
11;RADERANIRINA Sendrison Daniela;Fy-M;6;1.58%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.26%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;13;3.43%
