numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;3;1.82%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;7;4.24%
3;RAJOELINA Andry Nirina;TGV;72;43.64%
4;RATSIRAKA Iarovana Roland;MTS;3;1.82%
5;RAVALOMANANA Marc;TIM;30;18.18%
6;PARAINA Auguste Richard;TT;3;1.82%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.61%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.61%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;4;2.42%
11;RADERANIRINA Sendrison Daniela;Fy-M;3;1.82%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;38;23.03%
