numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;2;1.03%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;6;3.09%
3;RAJOELINA Andry Nirina;TGV;76;39.18%
4;RATSIRAKA Iarovana Roland;MTS;1;0.52%
5;RAVALOMANANA Marc;TIM;85;43.81%
6;PARAINA Auguste Richard;TT;1;0.52%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;4;2.06%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;5;2.58%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;6;3.09%
11;RADERANIRINA Sendrison Daniela;Fy-M;0;0%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;3;1.55%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;5;2.58%
