numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;7;5%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;2;1.43%
3;RAJOELINA Andry Nirina;TGV;66;47.14%
4;RATSIRAKA Iarovana Roland;MTS;1;0.71%
5;RAVALOMANANA Marc;TIM;30;21.43%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;1.43%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;7;5%
11;RADERANIRINA Sendrison Daniela;Fy-M;9;6.43%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;16;11.43%
