numero;nom;partie;nombre;pourcentage
Blancs: 6 soit: 3.23% Nuls:2 soit: 1.08%;1; RAZAFINJOELINA Tahina;FTT
1 0.56%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
1 0.56%;3; RAJOELINA Andry Nirina;TGV
142 79.78%;4; RATSIRAKA Iarovana Roland;MTS
0 0%;5; RAVALOMANANA Marc;TIM
14 7.87%;6; PARAINA Auguste Richard;TT
1 0.56%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
1 0.56%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.56%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
0 0%;11; RADERANIRINA Sendrison Daniela;Fy-M
5 2.81%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
12 6.74%;
