numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;4;1.82%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;3;1.36%
3; RAJOELINA Andry Nirina;TGV;54;24.55%
4; RATSIRAKA Iarovana Roland;MTS;5;2.27%
5; RAVALOMANANA Marc;TIM;119;54.09%
6; PARAINA Auguste Richard;TT;1;0.45%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;2;0.91%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;0.91%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;14;6.36%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;0.91%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;6.36%
