numero;nom;partie;nombre;pourcentage
1;RAZAFINJOELINA Tahina;FTT;4;3.81%
2;ANDRIANAINARIVELO Hajo Herivelona;MMM;3;2.86%
3;RAJOELINA Andry Nirina;TGV;27;25.71%
4;RATSIRAKA Iarovana Roland;MTS;3;2.86%
5;RAVALOMANANA Marc;TIM;44;41.90%
6;PARAINA Auguste Richard;TT;0;0%
7;RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8;RAZAFINTSIANDRAOFA Jean Brunelle;APM;2;1.90%
9;RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.95%
10;RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;2;1.90%
11;RADERANIRINA Sendrison Daniela;Fy-M;2;1.90%
12;RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13;RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;17;16.19%
