numero;nom;partie;nombre;pourcentage
Blancs: 7 soit: 2.60% Nuls:8 soit: 2.97%;Suffrages ;1;;RAZAFINJOELINA;Tahina
FTT;3 1.18%;2;;ANDRIANAINARIVELO;Hajo;Herivelona
MMM;2 0.79%;3;;RAJOELINA;Andry;Nirina
TGV;180 70.87%;4;;RATSIRAKA;Iarovana;Roland
MTS;0 0%;5;;RAVALOMANANA;Marc
TIM;34 13.39%;6;;PARAINA;Auguste;Richard
TT;0 0%;7;;RAOBELINA;ANDRIAMALALA;Andry;Tsiverizo
ARB;2 0.79%;8;;RAZAFINTSIANDRAOFA;Jean;Brunelle
APM;2 0.79%;9;;RATSIRAHONANA;Lalaina;Harilanto
Antoko Fihavanantsika An'i Kristy;0 0%;10;;RAJAONARIMAMPIANINA;RAKOTOARIMANANA;Hery;
HVM;4 1.57%;11;;RADERANIRINA;Sendrison;Daniela
Fy-M;4 1.57%;12;;RATSIETISON;Jean-Jacques;Jedidia
FMI-Ma;0 0%;13;;RANDRIANASOLONIAIKO;Siteny;Thierry
Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;23 9.06%;
