numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;6;4.26%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;1;0.71%
3; RAJOELINA Andry Nirina;TGV;107;75.89%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;8;5.67%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;0;0%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.71%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;0;0%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;1;0.71%
11; RADERANIRINA Sendrison Daniela;Fy-M;3;2.13%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;14;9.93%
