numero;nom;partie;nombre;pourcentage
Blancs: 11 soit: 4.72% Nuls:3 soit: 1.29%;1; RAZAFINJOELINA Tahina;FTT
11 5.02%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
1 0.46%;3; RAJOELINA Andry Nirina;TGV
154 70.32%;4; RATSIRAKA Iarovana Roland;MTS
0 0%;5; RAVALOMANANA Marc;TIM
27 12.33%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
3 1.37%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
2 0.91%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
0 0%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
0 0%;11; RADERANIRINA Sendrison Daniela;Fy-M
3 1.37%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
18 8.22%;
