numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;5;2.16%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.86%
3; RAJOELINA Andry Nirina;TGV;154;66.38%
4; RATSIRAKA Iarovana Roland;MTS;0;0%
5; RAVALOMANANA Marc;TIM;28;12.07%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;4;1.72%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.43%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;2;0.86%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;1.29%
11; RADERANIRINA Sendrison Daniela;Fy-M;9;3.88%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;24;10.34%
