numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;4;1.49%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;7;2.61%
3; RAJOELINA Andry Nirina;TGV;84;31.34%
4; RATSIRAKA Iarovana Roland;MTS;3;1.12%
5; RAVALOMANANA Marc;TIM;100;37.31%
6; PARAINA Auguste Richard;TT;3;1.12%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.37%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;6;2.24%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;5;1.87%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;18;6.72%
11; RADERANIRINA Sendrison Daniela;Fy-M;2;0.75%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;1;0.37%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;34;12.69%
