numero;nom;partie;nombre;pourcentage
1; RAZAFINJOELINA Tahina;FTT;0;0%
2; ANDRIANAINARIVELO Hajo Herivelona;MMM;2;0.64%
3; RAJOELINA Andry Nirina;TGV;283;91%
4; RATSIRAKA Iarovana Roland;MTS;2;0.64%
5; RAVALOMANANA Marc;TIM;7;2.25%
6; PARAINA Auguste Richard;TT;0;0%
7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB;1;0.32%
8; RAZAFINTSIANDRAOFA Jean Brunelle;APM;1;0.32%
9; RATSIRAHONANA Lalaina Harilanto;Antoko Fihavanantsika An'i Kristy;1;0.32%
10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM;3;0.96%
11; RADERANIRINA Sendrison Daniela;Fy-M;1;0.32%
12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma;0;0%
13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD, PSD, RPSD Vaovao, ABA;10;3.22%
