numero;nom;partie;nombre;pourcentage
Blancs: 23 soit: 7.85% Nuls:10 soit: 3.41%;1; RAZAFINJOELINA Tahina;FTT
1 0.38%;2; ANDRIANAINARIVELO Hajo Herivelona;MMM
15 5.77%;3; RAJOELINA Andry Nirina;TGV
183 70.38%;4; RATSIRAKA Iarovana Roland;MTS
0 0%;5; RAVALOMANANA Marc;TIM
29 11.15%;6; PARAINA Auguste Richard;TT
0 0%;7; RAOBELINA ANDRIAMALALA Andry Tsiverizo;ARB
2 0.77%;8; RAZAFINTSIANDRAOFA Jean Brunelle;APM
0 0%;9; RATSIRAHONANA Lalaina Harilanto;Antoko;Fihavanantsika;An'i;Kristy
1 0.38%;10; RAJAONARIMAMPIANINA RAKOTOARIMANANA Hery ;HVM
1 0.38%;11; RADERANIRINA Sendrison Daniela;Fy-M
2 0.77%;12; RATSIETISON Jean-Jacques Jedidia;FMI-Ma
0 0%;13; RANDRIANASOLONIAIKO Siteny Thierry;Fitambolagnela/IAD,;PSD,;RPSD;Vaovao,;ABA
26 10%;
